"field_name","Point_count_ID","Site","Species_common_name","Est_distance","PC_time","Time_of_day","Audio_visual","Notes"
1643,"18_04_07_1","E100 edge","Rufous-tailed Shama",17,"0:00:10","5:13:10 PM",NA,"JA221"
1644,"18_04_07_1","E100 edge","Blue-eared Barbet",30,"0:00:15","5:13:15 PM",NA,NA
1645,"18_04_07_1","E100 edge","Bird",15,"0:02:15","5:15:15 PM",NA,"tzzktzzktzzkk"
1646,"18_04_07_1","E100 edge","Chestnut-winged Babbler",60,"0:04:30","5:17:30 PM",NA,NA
1647,"18_04_07_1","E100 edge","Common Hill Myna",25,"0:04:50","5:17:50 PM",NA,NA
1648,"18_04_07_1","E100 edge","Black-capped Babbler",17,"0:09:19","5:22:19 PM",NA,"Titu"
1649,"18_04_07_1","E100 edge","Great Slaty Woodpecker",20,"0:12:00","5:25:00 PM",NA,"JA224"
1650,"18_04_07_1","E100 edge","Great Argus",25,"0:12:30","5:25:30 PM",NA,NA
1651,"18_04_07_1","E100 edge","Rufous-tailed Tailorbird",20,"0:15:09","5:28:09 PM",NA,"huuwit"
1652,"18_04_07_1","E100 edge","Great Slaty Woodpecker",25,"0:16:26","5:29:26 PM",NA,NA
1653,"18_04_07_1","E100 edge","Grey-chested Jungle Flycatcher",20,"0:17:24","5:30:24 PM",NA,"JA226"
1654,"18_04_07_1","E100 edge","Greater Coucal",30,"0:18:42","5:31:42 PM",NA,NA
1655,"18_04_07_1","E100 edge",NA,29,NA,NA,NA,"whit (far away), JA123 s12 faint"
1656,"18_04_07_2","E100 edge","Blue-eared Barbet",20,"0:01:57","6:01:57 PM",NA,NA
1657,"18_04_07_2","E100 edge","Great Argus",25,"0:02:07","6:02:07 PM",NA,NA
1658,"18_04_07_2","E100 edge","Greater Coucal",20,"0:02:30","6:02:30 PM",NA,NA
1659,"18_04_07_2","E100 edge","Greater Coucal",30,"0:03:45","6:03:45 PM",NA,NA
1660,"18_04_07_2","E100 edge",NA,25,"0:04:56","6:04:56 PM",NA,"whooooo also audible at 6:26, Bornean Gibbon?!"
1661,"18_04_07_2","E100 edge",NA,21,"0:05:31","6:05:31 PM",NA,NA
1662,"18_04_07_2","E100 edge","Woodpecker",20,"0:08:36","6:08:36 PM",NA,"Drumming + deetdeet JA229"
1663,"18_04_07_2","E100 edge","Bird",20,"0:17:40","6:17:40 PM",NA,NA
1664,"18_04_07_2","E100 edge","Black-capped Babbler",35,NA,NA,NA,"JA229"
1665,"18_04_07_3","E100 edge","Great Argus",30,"0:04:00","7:04:00 PM",NA,NA
1666,"18_04_07_3","E100 edge","Great Argus",30,"0:04:00","7:04:00 PM",NA,NA
1667,"18_04_07_4","E100 edge","Barred Eagle-owl",30,"0:18:19","8:18:19 PM",NA,"single whooo"
1668,"18_04_07_5","E100 edge","Great Argus",30,"0:05:19","9:05:19 PM",NA,NA
1669,"18_04_07_5","E100 edge","Great Argus",25,"0:05:19","9:05:19 PM",NA,NA
1670,"18_04_07_5","E100 edge","Reddish Scops Owl",25,"0:08:30","9:08:30 PM",NA,"JA233 faint, also audible at 14:10: 14:30"
1671,"18_04_07_5","E100 edge","Barred Eagle-owl",17,"0:15:24","9:15:24 PM",NA,NA
1672,"18_04_09_1","B10",NA,NA,NA,NA,NA,NA
1673,"18_04_09_2","B10",NA,NA,NA,NA,NA,NA
1674,"18_04_09_3","B10",NA,NA,NA,NA,NA,NA
1675,"18_04_09_4","B10","Large-tailed Nightjar",30,"0:17:59","12:17:59 AM",NA,NA
1676,"18_04_09_5","B10",NA,NA,NA,NA,NA,NA
1677,"18_04_09_6","B10",NA,NA,NA,NA,NA,NA
1678,"18_04_10_1","E1 648","Reddish Scops Owl",50,"0:15:40","9:26:40 PM",NA,NA
1679,"18_04_10_2","E1 648","Chestnut-necklaced Partridge",30,"0:14:00","10:14:00 PM",NA,NA
1680,"18_04_10_2","E1 648","Reddish Scops Owl",80,"0:30:00","10:30:00 PM",NA,NA
1681,"18_04_10_3","E1 648",NA,NA,NA,NA,NA,NA
1682,"18_04_10_4","E1 648","Chestnut-necklaced Partridge",50,"0:12:40","12:12:40 AM",NA,NA
1683,"18_04_10_5","E1 648",NA,NA,NA,NA,NA,NA
1684,"18_04_10_6","E1 648",NA,NA,NA,NA,NA,NA
1685,"18_04_11_1","D Matrix","King Quail",20,"0:15:10","9:15:10 PM","V",NA
1686,"18_04_11_2","D Matrix","King Quail",12,"0:11:00","10:11:00 PM","A",NA
1687,"18_04_11_3","D Matrix",NA,NA,NA,NA,NA,NA
1688,"18_04_11_4","D Matrix","King Quail",20,"0:01:18","12:01:18 AM","A",NA
1689,"18_04_11_5","D Matrix",NA,NA,NA,NA,NA,NA
1690,"18_04_11_6","D Matrix",NA,NA,NA,NA,NA,NA
1916,"18_04_26_1","D Matrix",NA,NA,NA,NA,NA,NA
1917,"18_04_26_2","D Matrix","Plaintive Cuckoo",30,"0:19:26","4:19:26 AM",NA,NA
1918,"18_04_26_3","D Matrix","Plaintive Cuckoo",28,"0:16:30","5:16:30 AM",NA,NA
1919,"18_04_26_4","D Matrix","Malaysian Pied Fantail",20,"0:01:00","6:01:00 AM","AV",NA
1920,"18_04_26_4","D Matrix","Greater Coucal",25,"0:01:10","6:01:10 AM","A",NA
1921,"18_04_26_4","D Matrix","Bold-striped Tit-babbler",11,"0:01:20","6:01:20 AM","A",NA
