"Point_count_ID","Site","count","Time","Date"
"18_04_26_4","Matrix",1,"06:00:00 AM","4/26/18"
"18_04_26_6","Matrix",1,"08:00:00 AM","4/26/18"
"18_04_27_3","LF",8,"06:00:00 AM","4/27/18"
"18_04_27_4","LF",7,"07:00:00 AM","4/27/18"
"18_04_27_5","LF",1,"08:00:00 AM","4/27/18"
"18_04_28_4","LF",1,"06:00:00 AM","4/28/18"
"18_04_28_6","LF",2,"08:00:00 AM","4/28/18"
"18_06_12_2","Riparian",1,"11:00:00 AM","6/12/18"
"18_06_13_1","LF",1,"09:20:00 AM","6/13/18"
"18_06_13_2","LF",2,"10:00:00 AM","6/13/18"
"18_06_13_4","LF",1,"12:00:00 PM","6/13/18"
"18_06_14_1","Matrix",1,"09:20:00 AM","6/14/18"
"18_06_14_2","Matrix",1,"10:00:00 AM","6/14/18"
"18_06_14_3","Matrix",1,"11:00:00 AM","6/14/18"
"18_06_14_5","Matrix",1,"01:00:00 PM","6/14/18"
"18_06_15_1","OG",4,"11:00:00 AM","6/15/18"
"18_06_15_2","OG",1,"12:00:00 PM","6/15/18"
"18_06_15_4","OG",2,"02:00:00 PM","6/15/18"
"18_06_15_6","OG",1,"04:00:00 PM","6/15/18"
"18_06_20_1","LF",2,"10:00:00 AM","6/20/18"
"18_06_20_3","LF",2,"12:00:00 PM","6/20/18"
"18_06_23_2","Riparian",1,"11:00:00 AM","6/23/18"
"18_06_23_3","Riparian",1,"12:00:00 PM","6/23/18"
"18_06_23_4","Riparian",1,"01:00:00 PM","6/23/18"
"18_08_02_1","LF",1,"03:00:00 PM","8/2/18"
"18_08_02_2","LF",5,"04:00:00 PM","8/2/18"
"18_08_02_3","LF",4,"05:00:00 PM","8/2/18"
"18_08_02_4","LF",7,"06:00:00 PM","8/2/18"
"18_08_17_1","LF",9,"04:00:00 PM","8/17/18"
"18_08_17_2","LF",8,"05:00:00 PM","8/17/18"
"18_08_17_3","LF",6,"06:00:00 PM","8/17/18"
"18_08_18_1","LF",7,"12:09:20 AM","8/18/18"
"18_08_18_2","LF",4,"10:00:00 AM","8/18/18"
"18_08_18_3","LF",2,"11:00:00 AM","8/18/18"
"18_08_18_4","LF",1,"12:00:00 PM","8/18/18"
"18_08_18_5","LF",2,"01:00:00 PM","8/18/18"
"18_08_21_1","OP",3,"04:03:00 PM","8/21/18"
"18_08_23_1","LF",3,"04:21:00 PM","8/23/18"
"18_08_23_2","LF",7,"05:00:00 PM","8/23/18"
"18_08_24_2","Riparian",3,"05:00:00 PM","8/24/18"
"18_08_24_3","Riparian",1,"06:00:00 PM","8/24/18"
"18_09_10_1","OP",1,"05:05:00 PM","9/10/18"
"18_10_14_1","LF",3,"07:20:00 AM","10/14/18"
"18_10_14_2","LF",7,"08:00:00 AM","10/14/18"
"18_10_14_6","LF",1,"12:00:00 PM","10/14/18"
"18_10_17_1","OP",1,"04:03:00 AM","10/17/18"
"18_10_17_2","OP",2,"05:00:00 AM","10/17/18"
"18_10_17_3","OP",4,"06:00:00 AM","10/17/18"
"18_10_17_4","OP",1,"07:00:00 AM","10/17/18"
"18_10_17_5","OP",6,"08:00:00 AM","10/17/18"
"18_10_17_6","OP",6,"09:00:00 AM","10/17/18"
"18_10_18_1","OP",1,"11:00:00 PM","10/17/18"
"18_10_18_2","OP",1,"12:00:00 AM","10/18/18"
"18_10_18_3","OP",1,"01:00:00 AM","10/18/18"
"18_10_18_5","OP",1,"03:00:00 AM","10/18/18"
"18_10_19_1","OP",1,"05:05:00 AM","10/19/18"
"18_10_19_2","OP",1,"06:00:00 AM","10/19/18"
"18_10_19_3","OP",2,"07:00:00 AM","10/19/18"
"18_10_19_4","OP",1,"08:00:00 AM","10/19/18"
"18_10_19_6","OP",2,"10:00:00 AM","10/19/18"
"18_10_25_2","LF",3,"03:00:00 PM","10/19/18"
"18_10_25_3","LF",1,"04:00:00 PM","10/19/18"
"18_12_27_1","LF",1,"09:07:00 PM","12/27/18"
"19_01_15_4","LF",2,"07:00:00 AM","1/15/19"
"19_01_15_5","LF",1,"08:00:00 AM","1/15/19"
"19_01_16_4","LF",2,"06:00:00 AM","1/16/19"
"19_01_16_5","LF",1,"07:00:00 AM","1/16/19"
"19_01_31_4","Riparian",1,"07:00:00 AM","1/31/19"
"19_08_05_01","OP",11,"12:00:00 PM","8/5/19"
"19_08_05_02","OP",9,"01:00:00 PM","8/5/19"
"19_08_05_03","OP",7,"02:00:00 PM","8/5/19"
"19_08_05_04","OP",7,"03:00:00 PM","8/5/19"
"19_08_05_05","OP",10,"04:00:00 PM","8/5/19"
"19_08_05_06","OP",12,"05:00:00 PM","8/5/19"
"19_08_06_01","OP",11,"06:00:00 PM","8/6/19"
"19_08_06_05","OP",1,"10:00:00 PM","8/6/19"
"19_08_13_03","OP",1,"02:00:00 AM","8/13/19"
"19_08_13_05","OP",1,"04:00:00 AM","8/13/19"
"19_08_13_06","OP",1,"05:00:00 AM","8/13/19"
"19_08_15_01","OG",1,"12:00:00 AM","8/15/19"
"19_08_15_03","OG",2,"02:00:00 AM","8/15/19"
"19_08_15_04","OG",2,"03:01:00 AM","8/15/19"
"19_08_15_05","OG",2,"04:00:00 AM","8/15/19"
"19_08_15_06","OG",1,"05:00:00 AM","8/15/19"
"19_08_16_01","OP",9,"06:00:00 PM","8/16/19"
"19_08_16_03","OP",1,"08:00:00 PM","8/16/19"
"19_08_17_01","OG",2,"11:00:00 PM","8/17/19"
"19_08_17_02","OG",4,"12:00:00 AM","8/18/19"
"19_08_17_03","OG",2,"01:00:00 AM","8/18/19"
"19_08_17_04","OG",1,"02:00:00 AM","8/18/19"
"19_08_17_05","OG",2,"03:00:00 AM","8/18/19"
"19_08_30_01","OG",15,"06:00:00 AM","8/30/19"
"19_08_30_02","OG",21,"07:00:00 AM","8/30/19"
"19_08_30_03","OG",13,"08:00:00 AM","8/30/19"
"19_08_30_04","OG",9,"09:00:00 AM","8/30/19"
"19_08_30_05","OG",9,"10:00:00 AM","8/30/19"
"19_08_30_06","OG",3,"11:00:00 AM","8/30/19"
"19_09_04_01","LF",18,"06:02:00 AM","9/4/19"
"19_09_04_02","LF",7,"07:00:00 AM","9/4/19"
"19_09_04_03","LF",8,"08:00:00 AM","9/4/19"
"19_09_04_04","LF",12,"09:00:00 AM","9/4/19"
"19_09_04_05","LF",9,"10:00:00 AM","9/4/19"
"19_09_04_06","LF",12,"11:00:00 AM","9/4/19"
"19_09_05_01","LF",1,"06:12:00 PM","9/5/19"
"19_09_05_03","LF",1,"08:00:00 PM","9/5/19"
"19_09_06_01","Matrix",18,"06:20:00 AM","9/6/19"
"19_09_06_02","Matrix",13,"07:00:00 AM","9/6/19"
"19_09_06_03","Matrix",12,"08:00:00 AM","9/6/19"
