Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call.type
1	Spectrogram 1	1	3902.197591	3920.869834	446.097	505.447	31.25	16.576	468.75	500	female.gibbon
2	Spectrogram 1	1	4027.198642	4040.872805	435.73	1594.771	500	8.272	687.5	1187.5	female.gibbon
3	Spectrogram 1	1	4113.420021	4127.813877	522.876	1559.913	562.5	9.408	687.5	1250	female.gibbon
4	Spectrogram 1	1	4210.651246	4228.643566	540.305	1577.342	531.25	12.512	656.25	1187.5	female.gibbon
5	Spectrogram 1	1	4351.522026	4365.795933	505.447	1577.342	500	8.112	687.5	1187.5	female.gibbon
6	Spectrogram 1	1	4648.017574	4654.962758	760.563	1422.535	375	4.992	937.5	1312.5	bird1
7	Spectrogram 1	1	4668.436414	4674.131465	873.239	1436.62	343.75	3.952	1000	1343.75	bird1
8	Spectrogram 1	1	4707.868304	4713.563355	802.817	1338.028	375	4.4	906.25	1281.25	bird1
9	Spectrogram 1	1	3953.423118	3959.118169	901.408	1408.451	343.75	4.224	968.75	1312.5	bird1
10	Spectrogram 1	1	4716.167971	4718.251526	704.225	1267.606	406.25	1.168	812.5	1218.75	argus
11	Spectrogram 1	1	4730.891761	4733.253123	676.056	1211.268	343.75	1.248	812.5	1156.25	argus
12	Spectrogram 1	1	4737.975848	4739.9205	619.718	1225.352	312.5	1.184	812.5	1125	argus
13	Spectrogram 1	1	4751.310601	4754.088674	647.887	1211.268	343.75	1.296	781.25	1125	argus
14	Spectrogram 1	1	4758.464486	4760.825848	633.803	1197.183	312.5	1.152	812.5	1125	argus
15	Spectrogram 1	1	4765.826381	4768.465551	704.225	1211.268	312.5	1.184	812.5	1125	argus
16	Spectrogram 1	1	4778.466615	4780.689074	605.634	1253.521	375	1.2	781.25	1156.25	argus
17	Spectrogram 1	1	4687.049854	4693.71723	934.579	1476.636	500	3.936	937.5	1437.5	bird1
18	Spectrogram 1	1	4663.071864	4665.155419	766.355	1028.037	93.75	0.928	875	968.75	bird2
19	Spectrogram 1	1	4681.546052	4684.046318	766.355	1046.729	62.5	0.896	875	937.5	bird2
20	Spectrogram 1	1	4703.076122	4705.437484	766.355	1009.346	62.5	1.088	875	937.5	bird2
21	Spectrogram 1	1	4720.994696	4722.800444	766.355	971.963	93.75	1.072	843.75	937.5	bird2
22	Spectrogram 1	1	4728.651847	4730.596498	766.355	1009.346	62.5	1.136	843.75	906.25	bird2
23	Spectrogram 1	1	4667.331353	4668.290944	5002.462	5278.761	125	0.704	5093.75	5218.75	insect1
24	Spectrogram 1	1	4668.830713	4669.670355	5002.462	5264.219	125	0.64	5093.75	5218.75	insect1
25	Spectrogram 1	1	4670.450022	4671.409613	4958.836	5278.761	156.25	0.672	5062.5	5218.75	insect1
26	Spectrogram 1	1	4672.009357	4673.028921	5002.462	5278.761	125	0.656	5093.75	5218.75	insect1
27	Spectrogram 1	1	4673.628665	4674.588256	5017.004	5293.303	125	0.656	5093.75	5218.75	insect1
