Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call.type
1	Spectrogram 1	1	3902.197590544	3920.687611853	505.447	1533.769	562.500	9.5040	687.500	1250.000	female.gibbon
2	Spectrogram 1	1	4027.198641601	4040.872805064	435.730	1594.771	500.000	8.2720	687.500	1187.500	female.gibbon
3	Spectrogram 1	1	4113.420020647	4127.813876923	522.876	1559.913	562.500	9.4080	687.500	1250.000	female.gibbon
4	Spectrogram 1	1	4210.651246030	4228.643566375	540.305	1577.342	531.250	12.5120	656.250	1187.500	female.gibbon
5	Spectrogram 1	1	4351.522025981	4365.795933455	505.447	1577.342	500.000	8.1120	687.500	1187.500	female.gibbon
6	Spectrogram 1	1	4648.017574196	4654.962757934	760.563	1422.535	375.000	4.9920	937.500	1312.500	bird1
7	Spectrogram 1	1	4668.436414387	4674.131465053	873.239	1436.620	343.750	3.9520	1000.000	1343.750	bird1
8	Spectrogram 1	1	4707.868304385	4713.563355050	802.817	1338.028	375.000	4.4000	906.250	1281.250	bird1
9	Spectrogram 1	1	3953.423117930	3959.118168596	901.408	1408.451	343.750	4.2240	968.750	1312.500	bird1
10	Spectrogram 1	1	4716.167971225	4718.251526347	704.225	1267.606	406.250	1.1680	812.500	1218.750	argus
11	Spectrogram 1	1	4730.891760751	4733.253123222	676.056	1211.268	343.750	1.2480	812.500	1156.250	argus
12	Spectrogram 1	1	4737.975848164	4739.920499610	619.718	1225.352	312.500	1.1840	812.500	1125.000	argus
13	Spectrogram 1	1	4751.310600941	4754.088674437	647.887	1211.268	343.750	1.2960	781.250	1125.000	argus
14	Spectrogram 1	1	4758.464485944	4760.825848415	633.803	1197.183	312.500	1.1520	812.500	1125.000	argus
15	Spectrogram 1	1	4765.826380707	4768.465550527	704.225	1211.268	312.500	1.1840	812.500	1125.000	argus
16	Spectrogram 1	1	4778.466615111	4780.689073907	605.634	1253.521	375.000	1.2000	781.250	1156.250	argus
17	Spectrogram 1	1	4687.049853658	4693.717230047	934.579	1476.636	500.000	3.9360	937.500	1437.500	bird1
18	Spectrogram 1	1	4663.071863561	4665.155418682	766.355	1028.037	93.750	0.9280	875.000	968.750	bird2
19	Spectrogram 1	1	4681.546052305	4684.046318451	766.355	1046.729	62.500	0.8960	875.000	937.500	bird2
20	Spectrogram 1	1	4703.076121894	4705.437484365	766.355	1009.346	62.500	1.0880	875.000	937.500	bird2
21	Spectrogram 1	1	4720.994695939	4722.800443711	766.355	971.963	93.750	1.0720	843.750	937.500	bird2
22	Spectrogram 1	1	4728.651846597	4730.596498044	766.355	1009.346	62.500	1.1360	843.750	906.250	bird2
29	Spectrogram 1	1	3149.285416924	3227.595639605	1146.667	1600.000	218.750	70.0320	1250.000	1468.750	newbird
30	Spectrogram 1	1	2907.473447842	2988.614160499	1173.333	1680.000	281.250	73.1840	1281.250	1562.500	newbird
31	Spectrogram 1	1	2563.773171288	2736.433059849	1253.333	1626.667	218.750	149.1040	1312.500	1531.250	newbird
32	Spectrogram 1	1	3384.367464877	3434.372787794	1200.000	1706.667	250.000	45.1040	1312.500	1562.500	newbird
33	Spectrogram 1	1	5380.322204900	5404.853118029	1173.333	1600.000	312.500	21.7120	1250.000	1562.500	newbird
